"Label (Grouping)","Population 18 to 24 years","Population 18 to 24 years!!Less than high school graduate","Population 18 to 24 years!!High school graduate (includes equivalency)","Population 18 to 24 years!!Some college or associate's degree","Population 18 to 24 years!!Bachelor's degree or higher","Population 25 years and over","Population 25 years and over!!Less than 9th grade","Population 25 years and over!!9th to 12th grade, no diploma","Population 25 years and over!!High school graduate (includes equivalency)","Population 25 years and over!!Some college, no degree","Population 25 years and over!!Associate's degree","Population 25 years and over!!Bachelor's degree","Population 25 years and over!!Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","Population 25 to 34 years!!High school graduate or higher","Population 25 to 34 years!!Bachelor's degree or higher","Population 35 to 44 years","Population 35 to 44 years!!High school graduate or higher","Population 35 to 44 years!!Bachelor's degree or higher","Population 45 to 64 years","Population 45 to 64 years!!High school graduate or higher","Population 45 to 64 years!!Bachelor's degree or higher","Population 65 years and over","Population 65 years and over!!High school graduate or higher","Population 65 years and over!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!Bachelor's degree or higher","White alone, not Hispanic or Latino","White alone, not Hispanic or Latino!!High school graduate or higher","White alone, not Hispanic or Latino!!Bachelor's degree or higher","Black alone","Black alone!!High school graduate or higher","Black alone!!Bachelor's degree or higher","American Indian or Alaska Native alone","American Indian or Alaska Native alone!!High school graduate or higher","American Indian or Alaska Native alone!!Bachelor's degree or higher","Asian alone","Asian alone!!High school graduate or higher","Asian alone!!Bachelor's degree or higher","Native Hawaiian and Other Pacific Islander alone","Native Hawaiian and Other Pacific Islander alone!!High school graduate or higher","Native Hawaiian and Other Pacific Islander alone!!Bachelor's degree or higher","Some other race alone","Some other race alone!!High school graduate or higher","Some other race alone!!Bachelor's degree or higher","Two or more races","Two or more races!!High school graduate or higher","Two or more races!!Bachelor's degree or higher","Hispanic or Latino Origin","Hispanic or Latino Origin!!High school graduate or higher","Hispanic or Latino Origin!!Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Graduate or professional degree"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","786","35","299","423","29","10,467","453","1,087","3,262","2,245","1,242","1,606","572","(X)","(X)","1,428","1,250","343","1,548","1,361","351","4,119","3,755","959","3,372","2,561","525","","10,070","8,607","1,996","9,959","8,565","1,982","33","26","12","32","26","10","56","56","50","9","9","0","210","146","66","57","57","44","321","188","80","","(X)","(X)","(X)","(X)","","23,215","14,531","21,203","20,219","40,231","43,750"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","4.5%","38.0%","53.8%","3.7%","(X)","4.3%","10.4%","31.2%","21.4%","11.9%","15.3%","5.5%","85.3%","20.8%","(X)","87.5%","24.0%","(X)","87.9%","22.7%","(X)","91.2%","23.3%","(X)","75.9%","15.6%","","(X)","85.5%","19.8%","(X)","86.0%","19.9%","(X)","78.8%","36.4%","(X)","81.3%","31.3%","(X)","100.0%","89.3%","(X)","100.0%","0.0%","(X)","69.5%","31.4%","(X)","100.0%","77.2%","(X)","58.6%","24.9%","","41.5%","16.2%","18.5%","2.1%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Avery County, North Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,737","233","585","879","40","13,135","1,035","1,728","3,909","2,976","886","1,526","1,075","(X)","(X)","2,174","1,827","413","2,395","1,941","365","4,969","3,985","1,011","3,597","2,619","812","","12,067","9,704","2,569","11,842","9,573","2,566","550","413","0","82","75","0","70","41","13","0","0","0","239","50","0","127","89","19","494","205","20","","(X)","(X)","(X)","(X)","","25,881","17,529","21,923","25,103","41,250","39,265"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","13.4%","33.7%","50.6%","2.3%","(X)","7.9%","13.2%","29.8%","22.7%","6.7%","11.6%","8.2%","79.0%","19.8%","(X)","84.0%","19.0%","(X)","81.0%","15.2%","(X)","80.2%","20.3%","(X)","72.8%","22.6%","","(X)","80.4%","21.3%","(X)","80.8%","21.7%","(X)","75.1%","0.0%","(X)","91.5%","0.0%","(X)","58.6%","18.6%","(X)","-","-","(X)","20.9%","0.0%","(X)","70.1%","15.0%","(X)","41.5%","4.0%","","25.8%","14.5%","11.9%","6.8%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","948","135","339","450","24","7,247","676","1,100","2,183","1,683","304","748","553","(X)","(X)","1,388","1,105","157","1,489","1,159","178","2,717","2,046","500","1,653","1,161","466","","6,380","4,913","1,278","6,237","4,812","1,278","479","365","0","60","53","0","33","21","11","0","0","0","194","50","0","101","69","12","352","166","11","","(X)","(X)","(X)","(X)","","27,630","19,309","27,829","26,419","40,298","55,300"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","14.2%","35.8%","47.5%","2.5%","(X)","9.3%","15.2%","30.1%","23.2%","4.2%","10.3%","7.6%","75.5%","18.0%","(X)","79.6%","11.3%","(X)","77.8%","12.0%","(X)","75.3%","18.4%","(X)","70.2%","28.2%","","(X)","77.0%","20.0%","(X)","77.2%","20.5%","(X)","76.2%","0.0%","(X)","88.3%","0.0%","(X)","63.6%","33.3%","(X)","-","-","(X)","25.8%","0.0%","(X)","68.3%","11.9%","(X)","47.2%","3.1%","","23.7%","11.6%","13.0%","6.3%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","789","98","246","429","16","5,888","359","628","1,726","1,293","582","778","522","(X)","(X)","786","722","256","906","782","187","2,252","1,939","511","1,944","1,458","346","","5,687","4,791","1,291","5,605","4,761","1,288","71","48","0","22","22","0","37","20","2","0","0","0","45","0","0","26","20","7","142","39","9","","(X)","(X)","(X)","(X)","","23,793","13,627","18,774","23,763","42,120","38,284"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","12.4%","31.2%","54.4%","2.0%","(X)","6.1%","10.7%","29.3%","22.0%","9.9%","13.2%","8.9%","83.2%","22.1%","(X)","91.9%","32.6%","(X)","86.3%","20.6%","(X)","86.1%","22.7%","(X)","75.0%","17.8%","","(X)","84.2%","22.7%","(X)","84.9%","23.0%","(X)","67.6%","0.0%","(X)","100.0%","0.0%","(X)","54.1%","5.4%","(X)","-","-","(X)","0.0%","0.0%","(X)","76.9%","26.9%","(X)","27.5%","6.3%","","28.8%","17.0%","11.1%","7.3%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Beaufort County, North Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,559","709","1,300","1,357","193","33,861","1,933","3,267","11,131","7,649","3,595","4,039","2,247","(X)","(X)","4,540","3,629","684","5,460","4,606","1,059","13,559","11,886","2,250","10,302","8,540","2,293","","25,196","22,007","5,702","24,016","21,616","5,639","8,038","6,380","534","54","54","15","33","33","0","23","23","0","291","27","0","226","137","35","1,569","455","67","","(X)","(X)","(X)","(X)","","30,749","24,931","24,490","32,238","41,503","46,525"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","19.9%","36.5%","38.1%","5.4%","(X)","5.7%","9.6%","32.9%","22.6%","10.6%","11.9%","6.6%","84.6%","18.6%","(X)","79.9%","15.1%","(X)","84.4%","19.4%","(X)","87.7%","16.6%","(X)","82.9%","22.3%","","(X)","87.3%","22.6%","(X)","90.0%","23.5%","(X)","79.4%","6.6%","(X)","100.0%","27.8%","(X)","100.0%","0.0%","(X)","100.0%","0.0%","(X)","9.3%","0.0%","(X)","60.6%","15.5%","(X)","29.0%","4.3%","","25.6%","20.2%","10.5%","4.0%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,802","399","761","501","141","15,851","1,238","1,771","5,257","3,492","1,240","1,772","1,081","(X)","(X)","2,195","1,599","182","2,575","2,053","425","6,477","5,451","1,023","4,604","3,739","1,223","","12,037","10,127","2,666","11,400","10,012","2,606","3,477","2,571","163","26","26","0","0","0","0","2","2","0","180","20","0","129","96","24","846","144","64","","(X)","(X)","(X)","(X)","","34,599","25,920","31,784","40,492","53,281","45,200"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","22.1%","42.2%","27.8%","7.8%","(X)","7.8%","11.2%","33.2%","22.0%","7.8%","11.2%","6.8%","81.0%","18.0%","(X)","72.8%","8.3%","(X)","79.7%","16.5%","(X)","84.2%","15.8%","(X)","81.2%","26.6%","","(X)","84.1%","22.1%","(X)","87.8%","22.9%","(X)","73.9%","4.7%","(X)","100.0%","0.0%","(X)","-","-","(X)","100.0%","0.0%","(X)","11.1%","0.0%","(X)","74.4%","18.6%","(X)","17.0%","7.6%","","23.2%","16.7%","7.2%","2.3%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,757","310","539","856","52","18,010","695","1,496","5,874","4,157","2,355","2,267","1,166","(X)","(X)","2,345","2,030","502","2,885","2,553","634","7,082","6,435","1,227","5,698","4,801","1,070","","13,159","11,880","3,036","12,616","11,604","3,033","4,561","3,809","371","28","28","15","33","33","0","21","21","0","111","7","0","97","41","11","723","311","3","","(X)","(X)","(X)","(X)","","26,700","20,988","18,104","28,331","35,875","46,882"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","17.6%","30.7%","48.7%","3.0%","(X)","3.9%","8.3%","32.6%","23.1%","13.1%","12.6%","6.5%","87.8%","19.1%","(X)","86.6%","21.4%","(X)","88.5%","22.0%","(X)","90.9%","17.3%","(X)","84.3%","18.8%","","(X)","90.3%","23.1%","(X)","92.0%","24.0%","(X)","83.5%","8.1%","(X)","100.0%","53.6%","(X)","100.0%","0.0%","(X)","100.0%","0.0%","(X)","6.3%","0.0%","(X)","42.3%","11.3%","(X)","43.0%","0.4%","","29.0%","23.2%","12.9%","5.5%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Bertie County, North Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,700","486","635","510","69","14,946","1,358","2,409","5,691","2,678","1,085","1,152","573","(X)","(X)","2,506","2,047","380","2,271","1,835","174","6,182","4,744","636","3,987","2,553","535","","5,874","4,946","926","5,590","4,877","919","8,791","6,094","750","110","42","0","64","50","31","2","0","0","20","0","0","85","47","18","362","102","7","","(X)","(X)","(X)","(X)","","25,486","17,500","25,577","25,575","36,707","-"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","28.6%","37.4%","30.0%","4.1%","(X)","9.1%","16.1%","38.1%","17.9%","7.3%","7.7%","3.8%","74.8%","11.5%","(X)","81.7%","15.2%","(X)","80.8%","7.7%","(X)","76.7%","10.3%","(X)","64.0%","13.4%","","(X)","84.2%","15.8%","(X)","87.2%","16.4%","(X)","69.3%","8.5%","(X)","38.2%","0.0%","(X)","78.1%","48.4%","(X)","0.0%","0.0%","(X)","0.0%","0.0%","(X)","55.3%","21.2%","(X)","28.2%","1.9%","","27.3%","13.5%","15.8%","5.8%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","994","333","422","204","35","7,502","910","1,500","3,023","1,161","345","208","355","(X)","(X)","1,527","1,152","166","1,213","921","29","3,091","2,105","153","1,671","914","215","","3,033","2,382","383","2,754","2,318","381","4,325","2,660","180","57","12","0","24","14","0","0","0","0","20","0","0","43","24","0","357","97","2","","(X)","(X)","(X)","(X)","","29,394","18,700","32,129","33,778","60,833","-"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","33.5%","42.5%","20.5%","3.5%","(X)","12.1%","20.0%","40.3%","15.5%","4.6%","2.8%","4.7%","67.9%","7.5%","(X)","75.4%","10.9%","(X)","75.9%","2.4%","(X)","68.1%","4.9%","(X)","54.7%","12.9%","","(X)","78.5%","12.6%","(X)","84.2%","13.8%","(X)","61.5%","4.2%","(X)","21.1%","0.0%","(X)","58.3%","0.0%","(X)","-","-","(X)","0.0%","0.0%","(X)","55.8%","0.0%","(X)","27.2%","0.6%","","24.1%","11.0%","14.5%","4.3%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","706","153","213","306","34","7,444","448","909","2,668","1,517","740","944","218","(X)","(X)","979","895","214","1,058","914","145","3,091","2,639","483","2,316","1,639","320","","2,841","2,564","543","2,836","2,559","538","4,466","3,434","570","53","30","0","40","36","31","2","0","0","0","0","0","42","23","18","5","5","5","","(X)","(X)","(X)","(X)","","22,272","11,786","20,061","21,000","35,697","50,417"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","21.7%","30.2%","43.3%","4.8%","(X)","6.0%","12.2%","35.8%","20.4%","9.9%","12.7%","2.9%","81.8%","15.6%","(X)","91.4%","21.9%","(X)","86.4%","13.7%","(X)","85.4%","15.6%","(X)","70.8%","13.8%","","(X)","90.2%","19.1%","(X)","90.2%","19.0%","(X)","76.9%","12.8%","(X)","56.6%","0.0%","(X)","90.0%","77.5%","(X)","0.0%","0.0%","(X)","-","-","(X)","54.8%","42.9%","(X)","100.0%","100.0%","","32.4%","16.0%","16.5%","6.5%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Bladen County, North Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,691","717","912","1,021","41","24,247","1,835","3,392","7,745","5,255","2,427","2,461","1,132","(X)","(X)","3,553","2,874","611","4,276","3,798","725","10,084","7,988","1,545","6,334","4,360","712","","14,765","12,041","2,622","14,177","11,846","2,540","8,150","6,004","814","569","456","63","14","5","4","0","0","0","553","328","48","196","186","42","1,206","570","136","","(X)","(X)","(X)","(X)","","29,533","18,493","25,855","30,669","37,109","50,104"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","26.6%","33.9%","37.9%","1.5%","(X)","7.6%","14.0%","31.9%","21.7%","10.0%","10.1%","4.7%","78.4%","14.8%","(X)","80.9%","17.2%","(X)","88.8%","17.0%","(X)","79.2%","15.3%","(X)","68.8%","11.2%","","(X)","81.6%","17.8%","(X)","83.6%","17.9%","(X)","73.7%","10.0%","(X)","80.1%","11.1%","(X)","35.7%","28.6%","(X)","-","-","(X)","59.3%","8.7%","(X)","94.9%","21.4%","(X)","47.3%","11.3%","","37.9%","23.1%","19.6%","9.6%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,367","445","432","465","25","11,234","1,012","1,847","3,822","2,228","1,091","836","398","(X)","(X)","1,716","1,259","154","2,019","1,863","235","4,780","3,461","570","2,719","1,792","275","","7,006","5,555","923","6,739","5,474","895","3,513","2,325","249","276","199","16","6","4","4","0","0","0","350","211","36","83","81","6","637","296","37","","(X)","(X)","(X)","(X)","","32,085","23,582","32,254","32,345","40,612","51,630"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","32.6%","31.6%","34.0%","1.8%","(X)","9.0%","16.4%","34.0%","19.8%","9.7%","7.4%","3.5%","74.6%","11.0%","(X)","73.4%","9.0%","(X)","92.3%","11.6%","(X)","72.4%","11.9%","(X)","65.9%","10.1%","","(X)","79.3%","13.2%","(X)","81.2%","13.3%","(X)","66.2%","7.1%","(X)","72.1%","5.8%","(X)","66.7%","66.7%","(X)","-","-","(X)","60.3%","10.3%","(X)","97.6%","7.2%","(X)","46.5%","5.8%","","35.0%","19.4%","10.1%","11.8%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,324","272","480","556","16","13,013","823","1,545","3,923","3,027","1,336","1,625","734","(X)","(X)","1,837","1,615","457","2,257","1,935","490","5,304","4,527","975","3,615","2,568","437","","7,759","6,486","1,699","7,438","6,372","1,645","4,637","3,679","565","293","257","47","8","1","0","0","0","0","203","117","12","113","105","36","569","274","99","","(X)","(X)","(X)","(X)","","25,306","12,768","20,995","27,367","34,631","48,088"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","20.5%","36.3%","42.0%","1.2%","(X)","6.3%","11.9%","30.1%","23.3%","10.3%","12.5%","5.6%","81.8%","18.1%","(X)","87.9%","24.9%","(X)","85.7%","21.7%","(X)","85.4%","18.4%","(X)","71.0%","12.1%","","(X)","83.6%","21.9%","(X)","85.7%","22.1%","(X)","79.3%","12.2%","(X)","87.7%","16.0%","(X)","12.5%","0.0%","(X)","-","-","(X)","57.6%","5.9%","(X)","92.9%","31.9%","(X)","48.2%","17.4%","","41.4%","26.7%","26.8%","8.4%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Brunswick County, North Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
